suite,family,graph_id,graph_seed,density,case,layers,method,compiler_seed,route_mode,selector_reason,native_2q,cx,depth,twoq_depth,duration_us,router_seconds,level3_seconds,total_compile_seconds,swaps_before_level3,state_error,total_variation,ideal_cut,compiled_ideal_cut,noise_simulated,shots,noisy_cut,noisy_minus_ideal,simulator_seconds,final_positions
balanced,very_sparse15,80001,20340925,0.15,qaoa_p1,1,stock_level3,11,stock_qiskit,stock Qiskit Level 3 baseline,63,63,49,28,10.631111111111117,0.0,0.008754800001042895,0.00923190001049079,0,5.062564389684712e-15,4.9362059748027135e-15,8.828399521014541,8.828399521014628,False,0,nan,nan,0.0,"[12, 3, 9, 13, 5, 14, 11, 4, 15, 2, 10, 0, 8, 6, 7, 1]"
balanced,very_sparse15,80001,20340925,0.15,qaoa_p1,1,hybrid_level3,11,qiskit_fallback,density 0.150 is below the V4 window,63,63,49,28,10.631111111111117,0.0,0.008925600006477907,0.01026389999606181,0,5.062564389684712e-15,4.9362059748027135e-15,8.828399521014541,8.828399521014628,False,0,nan,nan,0.0,"[12, 3, 9, 13, 5, 14, 11, 4, 15, 2, 10, 0, 8, 6, 7, 1]"
balanced,very_sparse15,80001,20340925,0.15,qaoa_p1,1,stock_level3,29,stock_qiskit,stock Qiskit Level 3 baseline,63,63,57,26,10.581333333333337,0.0,0.00904659999650903,0.009565100001054816,0,6.291225513606944e-15,6.153205186678671e-15,8.828399521014541,8.828399521014651,False,0,nan,nan,0.0,"[12, 8, 9, 0, 10, 4, 7, 11, 15, 2, 1, 13, 6, 5, 3, 14]"
balanced,very_sparse15,80001,20340925,0.15,qaoa_p1,1,hybrid_level3,29,qiskit_fallback,density 0.150 is below the V4 window,63,63,57,26,10.581333333333337,0.0,0.009026300002005883,0.009803099994314834,0,6.291225513606944e-15,6.153205186678671e-15,8.828399521014541,8.828399521014651,False,0,nan,nan,0.0,"[12, 8, 9, 0, 10, 4, 7, 11, 15, 2, 1, 13, 6, 5, 3, 14]"
balanced,very_sparse15,80001,20340925,0.15,qaoa_p1,1,stock_level3,47,stock_qiskit,stock Qiskit Level 3 baseline,61,61,57,27,11.256888888888893,0.0,0.012871900005848147,0.013840500003425404,0,5.8342926407287425e-15,5.677918486502426e-15,8.828399521014541,8.828399521014642,False,0,nan,nan,0.0,"[12, 9, 0, 1, 10, 4, 7, 11, 15, 8, 2, 13, 6, 5, 3, 14]"
balanced,very_sparse15,80001,20340925,0.15,qaoa_p1,1,hybrid_level3,47,qiskit_fallback,density 0.150 is below the V4 window,61,61,57,27,11.256888888888893,0.0,0.012916599996970035,0.014220500001101755,0,5.8342926407287425e-15,5.677918486502426e-15,8.828399521014541,8.828399521014642,False,0,nan,nan,0.0,"[12, 9, 0, 1, 10, 4, 7, 11, 15, 8, 2, 13, 6, 5, 3, 14]"
balanced,very_sparse15,80001,20340925,0.15,qaoa_p2,2,stock_level3,11,stock_qiskit,stock Qiskit Level 3 baseline,134,134,96,51,20.167111111111122,0.0,0.013411200008704327,0.01421670000127051,0,8.849150027515416e-15,6.9185721118448904e-15,8.792828905516672,8.792828905516789,False,0,nan,nan,0.0,"[12, 3, 9, 5, 8, 13, 14, 4, 15, 2, 10, 0, 11, 6, 7, 1]"
balanced,very_sparse15,80001,20340925,0.15,qaoa_p2,2,hybrid_level3,11,qiskit_fallback,density 0.150 is below the V4 window,134,134,96,51,20.167111111111122,0.0,0.012557599999126978,0.013769800003501587,0,8.849150027515416e-15,6.9185721118448904e-15,8.792828905516672,8.792828905516789,False,0,nan,nan,0.0,"[12, 3, 9, 5, 8, 13, 14, 4, 15, 2, 10, 0, 11, 6, 7, 1]"
balanced,very_sparse15,80001,20340925,0.15,qaoa_p2,2,stock_level3,29,stock_qiskit,stock Qiskit Level 3 baseline,133,133,88,51,21.120000000000005,0.0,0.012043899987475015,0.012752700000419281,0,6.7874022582364764e-15,6.600890766642564e-15,8.792828905516672,8.792828905516789,False,0,nan,nan,0.0,"[10, 8, 9, 15, 11, 12, 13, 0, 6, 5, 7, 3, 14, 1, 4, 2]"
balanced,very_sparse15,80001,20340925,0.15,qaoa_p2,2,hybrid_level3,29,qiskit_fallback,density 0.150 is below the V4 window,133,133,88,51,21.120000000000005,0.0,0.01186759999836795,0.01309900000342168,0,6.7874022582364764e-15,6.600890766642564e-15,8.792828905516672,8.792828905516789,False,0,nan,nan,0.0,"[10, 8, 9, 15, 11, 12, 13, 0, 6, 5, 7, 3, 14, 1, 4, 2]"
